id,title,abstract
41,Conjugate Variables as a Resource in Signal and Image Processing,"In this paper we develop a new technique to model joint distributions of
signals. Our technique is based on quantum mechanical conjugate variables. We
show that the transition probability of quantum states leads to a distance
function on the signals. This distance function obeys the triangle inequality
on all quantum states and becomes a metric on pure quantum states. Treating
signals as conjugate variables allows us to create a new approach to segment
them.
  Keywords: Quantum information, transition probability, Euclidean distance,
Fubini-study metric, Bhattacharyya coefficients, conjugate variable,
signal/sensor fusion, signal and image segmentation."
42,Do Large Scale Molecular Language Representations Capture Important Structural Information?,"Predicting chemical properties from the structure of a molecule is of great
importance in many applications including drug discovery and material design.
Machine learning based molecular property prediction holds the promise of
enabling accurate predictions at much less complexity, when compared to, for
example Density Functional Theory (DFT) calculations. Features extracted from
molecular graphs, using graph neural nets in a supervised manner, have emerged
as strong baselines for such tasks. However, the vast chemical space together
with the limited availability of labels makes supervised learning challenging,
calling for learning a general-purpose molecular representation. Recently,
pre-trained transformer-based language models (PTLMs) on large unlabeled corpus
have produced state-of-the-art results in many downstream natural language
processing tasks. Inspired by this development, here we present molecular
embeddings obtained by training an efficient transformer encoder model,
referred to as MoLFormer. This model was employed with a linear attention
mechanism and highly paralleized training on 1D SMILES sequences of 1.1 billion
unlabeled molecules from the PubChem and ZINC datasets. Experiments show that
the learned molecular representation performs competitively, when compared to
existing graph-based and fingerprint-based supervised learning baselines, on
the challenging tasks of predicting properties of QM8 and QM9 molecules.
Further task-specific fine-tuning of the MoLFormerr representation improves
performance on several of those property prediction benchmarks. These results
provide encouraging evidence that large-scale molecular language models can
capture sufficient structural information to be able to accurately predict
quantum chemical properties and beyond."
43,word2ket: Space-efficient Word Embeddings inspired by Quantum Entanglement,"Deep learning natural language processing models often use vector word
embeddings, such as word2vec or GloVe, to represent words. A discrete sequence
of words can be much more easily integrated with downstream neural layers if it
is represented as a sequence of continuous vectors. Also, semantic
relationships between words, learned from a text corpus, can be encoded in the
relative configurations of the embedding vectors. However, storing and
accessing embedding vectors for all words in a dictionary requires large amount
of space, and may stain systems with limited GPU memory. Here, we used
approaches inspired by quantum computing to propose two related methods, {\em
word2ket} and {\em word2ketXS}, for storing word embedding matrix during
training and inference in a highly efficient way. Our approach achieves a
hundred-fold or more reduction in the space required to store the embeddings
with almost no relative drop in accuracy in practical natural language
processing tasks."
44,Heterogeneous relational message passing networks for molecular dynamics simulations,"With many frameworks based on message passing neural networks proposed to
predict molecular and bulk properties, machine learning methods have
tremendously shifted the paradigms of computational sciences underpinning
physics, material science, chemistry, and biology. While existing machine
learning models have yielded superior performances in many occasions, most of
them model and process molecular systems in terms of homogeneous graph, which
severely limits the expressive power for representing diverse interactions. In
practice, graph data with multiple node and edge types is ubiquitous and more
appropriate for molecular systems. Thus, we propose the heterogeneous
relational message passing network (HermNet), an end-to-end heterogeneous graph
neural networks, to efficiently express multiple interactions in a single model
with {\it ab initio} accuracy. HermNet performs impressively against many
top-performing models on both molecular and extended systems. Specifically,
HermNet outperforms other tested models in nearly 75\%, 83\% and 94\% of tasks
on MD17, QM9 and extended systems datasets, respectively. Finally, we elucidate
how the design of HermNet is compatible with quantum mechanics from the
perspective of the density functional theory. Besides, HermNet is a universal
framework, whose sub-networks could be replaced by other advanced models."
45,Model Uncertainty and Correctability for Directed Graphical Models,"Probabilistic graphical models are a fundamental tool in probabilistic
modeling, machine learning and artificial intelligence. They allow us to
integrate in a natural way expert knowledge, physical modeling, heterogeneous
and correlated data and quantities of interest. For exactly this reason,
multiple sources of model uncertainty are inherent within the modular structure
of the graphical model. In this paper we develop information-theoretic, robust
uncertainty quantification methods and non-parametric stress tests for directed
graphical models to assess the effect and the propagation through the graph of
multi-sourced model uncertainties to quantities of interest. These methods
allow us to rank the different sources of uncertainty and correct the graphical
model by targeting its most impactful components with respect to the quantities
of interest. Thus, from a machine learning perspective, we provide a
mathematically rigorous approach to correctability that guarantees a systematic
selection for improvement of components of a graphical model while controlling
potential new errors created in the process in other parts of the model. We
demonstrate our methods in two physico-chemical examples, namely quantum
scale-informed chemical kinetics and materials screening to improve the
efficiency of fuel cells."
46,Adiabatic Quantum Graph Matching with Permutation Matrix Constraints,"Matching problems on 3D shapes and images are challenging as they are
frequently formulated as combinatorial quadratic assignment problems (QAPs)
with permutation matrix constraints, which are NP-hard. In this work, we
address such problems with emerging quantum computing technology and propose
several reformulations of QAPs as unconstrained problems suitable for efficient
execution on quantum hardware. We investigate several ways to inject
permutation matrix constraints in a quadratic unconstrained binary optimization
problem which can be mapped to quantum hardware. We focus on obtaining a
sufficient spectral gap, which further increases the probability to measure
optimal solutions and valid permutation matrices in a single run. We perform
our experiments on the quantum computer D-Wave 2000Q (2^11 qubits, adiabatic).
Despite the observed discrepancy between simulated adiabatic quantum computing
and execution on real quantum hardware, our reformulation of permutation matrix
constraints increases the robustness of the numerical computations over other
penalty approaches in our experiments. The proposed algorithm has the potential
to scale to higher dimensions on future quantum computing architectures, which
opens up multiple new directions for solving matching problems in 3D computer
vision and graphics."
47,Geometry-aware Transformer for molecular property prediction,"Recently, graph neural networks (GNNs) have achieved remarkable performances
for quantum mechanical problems. However, a graph convolution can only cover a
localized region, and cannot capture long-range interactions of atoms. This
behavior is contrary to theoretical interatomic potentials, which is a
fundamental limitation of the spatial based GNNs. In this work, we propose a
novel attention-based framework for molecular property prediction tasks. We
represent a molecular conformation as a discrete atomic sequence combined by
atom-atom distance attributes, named Geometry-aware Transformer (GeoT). In
particular, we adopt a Transformer architecture, which has been widely used for
sequential data. Our proposed model trains sequential representations of
molecular graphs based on globally constructed attentions, maintaining all
spatial arrangements of atom pairs. Our method does not suffer from cost
intensive computations, such as angle calculations. The experimental results on
several public benchmarks and visualization maps verified that keeping the
long-range interatomic attributes can significantly improve the model
predictability."
48,Do Large Scale Molecular Language Representations Capture Important Structural Information?,"Predicting chemical properties from the structure of a molecule is of great
importance in many applications including drug discovery and material design.
Machine learning based molecular property prediction holds the promise of
enabling accurate predictions at much less complexity, when compared to, for
example Density Functional Theory (DFT) calculations. Features extracted from
molecular graphs, using graph neural nets in a supervised manner, have emerged
as strong baselines for such tasks. However, the vast chemical space together
with the limited availability of labels makes supervised learning challenging,
calling for learning a general-purpose molecular representation. Recently,
pre-trained transformer-based language models (PTLMs) on large unlabeled corpus
have produced state-of-the-art results in many downstream natural language
processing tasks. Inspired by this development, here we present molecular
embeddings obtained by training an efficient transformer encoder model,
referred to as MoLFormer. This model was employed with a linear attention
mechanism and highly paralleized training on 1D SMILES sequences of 1.1 billion
unlabeled molecules from the PubChem and ZINC datasets. Experiments show that
the learned molecular representation performs competitively, when compared to
existing graph-based and fingerprint-based supervised learning baselines, on
the challenging tasks of predicting properties of QM8 and QM9 molecules.
Further task-specific fine-tuning of the MoLFormerr representation improves
performance on several of those property prediction benchmarks. These results
provide encouraging evidence that large-scale molecular language models can
capture sufficient structural information to be able to accurately predict
quantum chemical properties and beyond."
49,Fast Quantum Property Prediction via Deeper 2D and 3D Graph Networks,"Molecular property prediction is gaining increasing attention due to its
diverse applications. One task of particular interests and importance is to
predict quantum chemical properties without 3D equilibrium structures. This is
practically favorable since obtaining 3D equilibrium structures requires
extremely expensive calculations. In this work, we design a deep graph neural
network to predict quantum properties by directly learning from 2D molecular
graphs. In addition, we propose a 3D graph neural network to learn from
low-cost conformer sets, which can be obtained with open-source tools using an
affordable budget. We employ our methods to participate in the 2021 KDD Cup on
OGB Large-Scale Challenge (OGB-LSC), which aims to predict the HOMO-LUMO energy
gap of molecules. Final evaluation results reveal that we are one of the
winners with a mean absolute error of 0.1235 on the holdout test set. Our
implementation is available as part of the MoleculeX package
(https://github.com/divelab/MoleculeX)."
50,Information Obfuscation of Graph Neural Networks,"While the advent of Graph Neural Networks (GNNs) has greatly improved node
and graph representation learning in many applications, the neighborhood
aggregation scheme exposes additional vulnerabilities to adversaries seeking to
extract node-level information about sensitive attributes. In this paper, we
study the problem of protecting sensitive attributes by information obfuscation
when learning with graph structured data. We propose a framework to locally
filter out pre-determined sensitive attributes via adversarial training with
the total variation and the Wasserstein distance. Our method creates a strong
defense against inference attacks, while only suffering small loss in task
performance. Theoretically, we analyze the effectiveness of our framework
against a worst-case adversary, and characterize an inherent trade-off between
maximizing predictive accuracy and minimizing information leakage. Experiments
across multiple datasets from recommender systems, knowledge graphs and quantum
chemistry demonstrate that the proposed approach provides a robust defense
across various graph structures and tasks, while producing competitive GNN
encoders for downstream tasks."
51,A Neural Network Perturbation Theory Based on the Born Series,"Deep Learning using the eponymous deep neural networks (DNNs) has become an
attractive approach towards various data-based problems of theoretical physics
in the past decade. There has been a clear trend to deeper architectures
containing increasingly more powerful and involved layers. Contrarily, Taylor
coefficients of DNNs still appear mainly in the light of interpretability
studies, where they are computed at most to first order. However, especially in
theoretical physics numerous problems benefit from accessing higher orders, as
well. This gap motivates a general formulation of neural network (NN) Taylor
expansions. Restricting our analysis to multilayer perceptrons (MLPs) and
introducing quantities we refer to as propagators and vertices, both depending
on the MLP's weights and biases, we establish a graph-theoretical approach.
Similarly to Feynman rules in quantum field theories, we can systematically
assign diagrams containing propagators and vertices to the corresponding
partial derivative. Examining this approach for S-wave scattering lengths of
shallow potentials, we observe NNs to adapt their derivatives mainly to the
leading order of the target function's Taylor expansion. To circumvent this
problem, we propose an iterative NN perturbation theory. During each iteration
we eliminate the leading order, such that the next-to-leading order can be
faithfully learned during the subsequent iteration. After performing two
iterations, we find that the first- and second-order Born terms are correctly
adapted during the respective iterations. Finally, we combine both results to
find a proxy that acts as a machine-learned second-order Born approximation."
52,Single-Photon Image Classification,"Quantum computing-based machine learning mainly focuses on quantum computing
hardware that is experimentally challenging to realize due to requiring quantum
gates that operate at very low temperature. Instead, we demonstrate the
existence of a lower performance and much lower effort island on the
accuracy-vs-qubits graph that may well be experimentally accessible with room
temperature optics. This high temperature ""quantum computing toy model"" is
nevertheless interesting to study as it allows rather accessible explanations
of key concepts in quantum computing, in particular interference, entanglement,
and the measurement process.
  We specifically study the problem of classifying an example from the MNIST
and Fashion-MNIST datasets, subject to the constraint that we have to make a
prediction after the detection of the very first photon that passed a
coherently illuminated filter showing the example. Whereas a classical set-up
in which a photon is detected after falling on one of the $28\times 28$ image
pixels is limited to a (maximum likelihood estimation) accuracy of $21.27\%$
for MNIST, respectively $18.27\%$ for Fashion-MNIST, we show that the
theoretically achievable accuracy when exploiting inference by optically
transforming the quantum state of the photon is at least $41.27\%$ for MNIST,
respectively $36.14\%$ for Fashion-MNIST.
  We show in detail how to train the corresponding transformation with
TensorFlow and also explain how this example can serve as a teaching tool for
the measurement process in quantum mechanics."
53,ForceNet: A Graph Neural Network for Large-Scale Quantum Calculations,"With massive amounts of atomic simulation data available, there is a huge
opportunity to develop fast and accurate machine learning models to approximate
expensive physics-based calculations. The key quantity to estimate is atomic
forces, where the state-of-the-art Graph Neural Networks (GNNs) explicitly
enforce basic physical constraints such as rotation-covariance. However, to
strictly satisfy the physical constraints, existing models have to make
tradeoffs between computational efficiency and model expressiveness. Here we
explore an alternative approach. By not imposing explicit physical constraints,
we can flexibly design expressive models while maintaining their computational
efficiency. Physical constraints are implicitly imposed by training the models
using physics-based data augmentation. To evaluate the approach, we carefully
design a scalable and expressive GNN model, ForceNet, and apply it to OC20
(Chanussot et al., 2020), an unprecedentedly-large dataset of quantum physics
calculations. Our proposed ForceNet is able to predict atomic forces more
accurately than state-of-the-art physics-based GNNs while being faster both in
training and inference. Overall, our promising and counter-intuitive results
open up an exciting avenue for future research."
54,Hybrid Quantum-Classical Graph Convolutional Network,"The high energy physics (HEP) community has a long history of dealing with
large-scale datasets. To manage such voluminous data, classical machine
learning and deep learning techniques have been employed to accelerate physics
discovery. Recent advances in quantum machine learning (QML) have indicated the
potential of applying these techniques in HEP. However, there are only limited
results in QML applications currently available. In particular, the challenge
of processing sparse data, common in HEP datasets, has not been extensively
studied in QML models. This research provides a hybrid quantum-classical graph
convolutional network (QGCNN) for learning HEP data. The proposed framework
demonstrates an advantage over classical multilayer perceptron and
convolutional neural networks in the aspect of number of parameters. Moreover,
in terms of testing accuracy, the QGCNN shows comparable performance to a
quantum convolutional neural network on the same HEP dataset while requiring
less than $50\%$ of the parameters. Based on numerical simulation results,
studying the application of graph convolutional operations and other QML models
may prove promising in advancing HEP research and other scientific fields."
55,Bosonic Random Walk Networks for Graph Learning,"The development of Graph Neural Networks (GNNs) has led to great progress in
machine learning on graph-structured data. These networks operate via diffusing
information across the graph nodes while capturing the structure of the graph.
Recently there has also seen tremendous progress in quantum computing
techniques. In this work, we explore applications of multi-particle quantum
walks on diffusing information across graphs. Our model is based on learning
the operators that govern the dynamics of quantum random walkers on graphs. We
demonstrate the effectiveness of our method on classification and regression
tasks."
56,HydroNet: Benchmark Tasks for Preserving Intermolecular Interactions and Structural Motifs in Predictive and Generative Models for Molecular Data,"Intermolecular and long-range interactions are central to phenomena as
diverse as gene regulation, topological states of quantum materials,
electrolyte transport in batteries, and the universal solvation properties of
water. We present a set of challenge problems for preserving intermolecular
interactions and structural motifs in machine-learning approaches to chemical
problems, through the use of a recently published dataset of 4.95 million water
clusters held together by hydrogen bonding interactions and resulting in longer
range structural patterns. The dataset provides spatial coordinates as well as
two types of graph representations, to accommodate a variety of
machine-learning practices."
57,Higher-Order Explanations of Graph Neural Networks via Relevant Walks,"Graph Neural Networks (GNNs) are a popular approach for predicting graph
structured data. As GNNs tightly entangle the input graph into the neural
network structure, common explainable AI approaches are not applicable. To a
large extent, GNNs have remained black-boxes for the user so far. In this
paper, we show that GNNs can in fact be naturally explained using higher-order
expansions, i.e. by identifying groups of edges that jointly contribute to the
prediction. Practically, we find that such explanations can be extracted using
a nested attribution scheme, where existing techniques such as layer-wise
relevance propagation (LRP) can be applied at each step. The output is a
collection of walks into the input graph that are relevant for the prediction.
Our novel explanation method, which we denote by GNN-LRP, is applicable to a
broad range of graph neural networks and lets us extract practically relevant
insights on sentiment analysis of text data, structure-property relationships
in quantum chemistry, and image classification."
58,Gini in a Bottleneck: Sparse Molecular Representations for Graph Convolutional Neural Networks,"Due to the nature of deep learning approaches, it is inherently difficult to
understand which aspects of a molecular graph drive the predictions of the
network. As a mitigation strategy, we constrain certain weights in a multi-task
graph convolutional neural network according to the Gini index to maximize the
""inequality"" of the learned representations. We show that this constraint does
not degrade evaluation metrics for some targets, and allows us to combine the
outputs of the graph convolutional operation in a visually interpretable way.
We then perform a proof-of-concept experiment on quantum chemistry targets on
the public QM9 dataset, and a larger experiment on ADMET targets on proprietary
drug-like molecules. Since a benchmark of explainability in the latter case is
difficult, we informally surveyed medicinal chemists within our organization to
check for agreement between regions of the molecule they and the model
identified as relevant to the properties in question."
59,On the equivalence of molecular graph convolution and molecular wave function with poor basis set,"In this study, we demonstrate that the linear combination of atomic orbitals
(LCAO), an approximation of quantum physics introduced by Pauling and
Lennard-Jones in the 1920s, corresponds to graph convolutional networks (GCNs)
for molecules. However, GCNs involve unnecessary nonlinearity and deep
architecture. We also verify that molecular GCNs are based on a poor basis
function set compared with the standard one used in theoretical calculations or
quantum chemical simulations. From these observations, we describe the quantum
deep field (QDF), a machine learning (ML) model based on an underlying quantum
physics, in particular the density functional theory (DFT). We believe that the
QDF model can be easily understood because it can be regarded as a single
linear layer GCN. Moreover, it uses two vanilla feedforward neural networks to
learn an energy functional and a Hohenberg--Kohn map that have nonlinearities
inherent in quantum physics and the DFT. For molecular energy prediction tasks,
we demonstrated the viability of an ``extrapolation,'' in which we trained a
QDF model with small molecules, tested it with large molecules, and achieved
high extrapolation performance. This will lead to reliable and practical
applications for discovering effective materials. The implementation is
available at https://github.com/masashitsubaki/QuantumDeepField_molecule."
60,Co-embedding of Nodes and Edges with Graph Neural Networks,"Graph, as an important data representation, is ubiquitous in many real world
applications ranging from social network analysis to biology. How to correctly
and effectively learn and extract information from graph is essential for a
large number of machine learning tasks. Graph embedding is a way to transform
and encode the data structure in high dimensional and non-Euclidean feature
space to a low dimensional and structural space, which is easily exploited by
other machine learning algorithms. We have witnessed a huge surge of such
embedding methods, from statistical approaches to recent deep learning methods
such as the graph convolutional networks (GCN). Deep learning approaches
usually outperform the traditional methods in most graph learning benchmarks by
building an end-to-end learning framework to optimize the loss function
directly. However, most of the existing GCN methods can only perform
convolution operations with node features, while ignoring the handy information
in edge features, such as relations in knowledge graphs. To address this
problem, we present CensNet, Convolution with Edge-Node Switching graph neural
network, for learning tasks in graph-structured data with both node and edge
features. CensNet is a general graph embedding framework, which embeds both
nodes and edges to a latent feature space. By using line graph of the original
undirected graph, the role of nodes and edges are switched, and two novel graph
convolution operations are proposed for feature propagation. Experimental
results on real-world academic citation networks and quantum chemistry graphs
show that our approach achieves or matches the state-of-the-art performance in
four graph learning tasks, including semi-supervised node classification,
multi-task graph classification, graph regression, and link prediction."
61,Heterogeneous Molecular Graph Neural Networks for Predicting Molecule Properties,"As they carry great potential for modeling complex interactions, graph neural
network (GNN)-based methods have been widely used to predict quantum mechanical
properties of molecules. Most of the existing methods treat molecules as
molecular graphs in which atoms are modeled as nodes. They characterize each
atom's chemical environment by modeling its pairwise interactions with other
atoms in the molecule. Although these methods achieve a great success, limited
amount of works explicitly take many-body interactions, i.e., interactions
between three and more atoms, into consideration. In this paper, we introduce a
novel graph representation of molecules, heterogeneous molecular graph (HMG) in
which nodes and edges are of various types, to model many-body interactions.
HMGs have the potential to carry complex geometric information. To leverage the
rich information stored in HMGs for chemical prediction problems, we build
heterogeneous molecular graph neural networks (HMGNN) on the basis of a neural
message passing scheme. HMGNN incorporates global molecule representations and
an attention mechanism into the prediction process. The predictions of HMGNN
are invariant to translation and rotation of atom coordinates, and permutation
of atom indices. Our model achieves state-of-the-art performance in 9 out of 12
tasks on the QM9 dataset."
62,Scalar Coupling Constant Prediction Using Graph Embedding Local Attention Encoder,"Scalar coupling constant (SCC) plays a key role in the analysis of
three-dimensional structure of organic matter, however, the traditional SCC
prediction using quantum mechanical calculations is very time-consuming. To
calculate SCC efficiently and accurately, we proposed a graph embedding local
self-attention encoder (GELAE) model, in which, a novel invariant structure
representation of the coupling system in terms of bond length, bond angle and
dihedral angle was presented firstly, and then a local self-attention module
embedded with the adjacent matrix of a graph was designed to extract
effectively the features of coupling systems, finally, with a modified
classification loss function, the SCC was predicted. To validate the
superiority of the proposed method, we conducted a series of comparison
experiments using different structure representations, different attention
modules, and different losses. The experimental results demonstrate that,
compared to the traditional chemical bond structure representations, the
rotation and translation invariant structure representations proposed in this
work can improve the SCC prediction accuracy; with the graph embedded local
self-attention, the mean absolute error (MAE) of the prediction model in the
validation set decreases from 0.1603 Hz to 0.1067 Hz; using the classification
based loss function instead of the scaled regression loss, the MAE of the
predicted SCC can be decreased to 0.0963 HZ, which is close to the quantum
chemistry standard on CHAMPS dataset."
63,Graph Neural Network Architecture Search for Molecular Property Prediction,"Predicting the properties of a molecule from its structure is a challenging
task. Recently, deep learning methods have improved the state of the art for
this task because of their ability to learn useful features from the given
data. By treating molecule structure as graphs, where atoms and bonds are
modeled as nodes and edges, graph neural networks (GNNs) have been widely used
to predict molecular properties. However, the design and development of GNNs
for a given data set rely on labor-intensive design and tuning of the network
architectures. Neural architecture search (NAS) is a promising approach to
discover high-performing neural network architectures automatically. To that
end, we develop an NAS approach to automate the design and development of GNNs
for molecular property prediction. Specifically, we focus on automated
development of message-passing neural networks (MPNNs) to predict the molecular
properties of small molecules in quantum mechanics and physical chemistry data
sets from the MoleculeNet benchmark. We demonstrate the superiority of the
automatically discovered MPNNs by comparing them with manually designed GNNs
from the MoleculeNet benchmark. We study the relative importance of the choices
in the MPNN search space, demonstrating that customizing the architecture is
critical to enhancing performance in molecular property prediction and that the
proposed approach can perform customization automatically with minimal manual
effort."
64,Reinforcement Learning for Molecular Design Guided by Quantum Mechanics,"Automating molecular design using deep reinforcement learning (RL) holds the
promise of accelerating the discovery of new chemical compounds. Existing
approaches work with molecular graphs and thus ignore the location of atoms in
space, which restricts them to 1) generating single organic molecules and 2)
heuristic reward functions. To address this, we present a novel RL formulation
for molecular design in Cartesian coordinates, thereby extending the class of
molecules that can be built. Our reward function is directly based on
fundamental physical properties such as the energy, which we approximate via
fast quantum-chemical methods. To enable progress towards de-novo molecular
design, we introduce MolGym, an RL environment comprising several challenging
molecular design tasks along with baselines. In our experiments, we show that
our agent can efficiently learn to solve these tasks from scratch by working in
a translation and rotation invariant state-action space."
65,A Multiscale Graph Convolutional Network Using Hierarchical Clustering,"The information contained in hierarchical topology, intrinsic to many
networks, is currently underutilised. A novel architecture is explored which
exploits this information through a multiscale decomposition. A dendrogram is
produced by a Girvan-Newman hierarchical clustering algorithm. It is segmented
and fed through graph convolutional layers, allowing the architecture to learn
multiple scale latent space representations of the network, from fine to coarse
grained. The architecture is tested on a benchmark citation network,
demonstrating competitive performance. Given the abundance of hierarchical
networks, possible applications include quantum molecular property prediction,
protein interface prediction and multiscale computational substrates for
partial differential equations."
66,Directional Message Passing for Molecular Graphs,"Graph neural networks have recently achieved great successes in predicting
quantum mechanical properties of molecules. These models represent a molecule
as a graph using only the distance between atoms (nodes). They do not, however,
consider the spatial direction from one atom to another, despite directional
information playing a central role in empirical potentials for molecules, e.g.
in angular potentials. To alleviate this limitation we propose directional
message passing, in which we embed the messages passed between atoms instead of
the atoms themselves. Each message is associated with a direction in coordinate
space. These directional message embeddings are rotationally equivariant since
the associated directions rotate with the molecule. We propose a message
passing scheme analogous to belief propagation, which uses the directional
information by transforming messages based on the angle between them.
Additionally, we use spherical Bessel functions and spherical harmonics to
construct theoretically well-founded, orthogonal representations that achieve
better performance than the currently prevalent Gaussian radial basis
representations while using fewer than 1/4 of the parameters. We leverage these
innovations to construct the directional message passing neural network
(DimeNet). DimeNet outperforms previous GNNs on average by 76% on MD17 and by
31% on QM9. Our implementation is available online."
67,Guided Colorization Using Mono-Color Image Pairs,"Compared to color images captured by conventional RGB cameras, monochrome
images usually have better signal-to-noise ratio (SNR) and richer textures due
to its higher quantum efficiency. It is thus natural to apply a mono-color
dual-camera system to restore color images with higher visual quality. In this
paper, we propose a mono-color image enhancement algorithm that colorizes the
monochrome image with the color one. Based on the assumption that adjacent
structures with similar luminance values are likely to have similar colors, we
first perform dense scribbling to assign colors to the monochrome pixels
through block matching. Two types of outliers, including occlusion and color
ambiguity, are detected and removed from the initial scribbles. We also
introduce a sampling strategy to accelerate the scribbling process. Then, the
dense scribbles are propagated to the entire image. To alleviate incorrect
color propagation in the regions that have no color hints at all, we generate
extra color seeds based on the existed scribbles to guide the propagation
process. Experimental results show that, our algorithm can efficiently restore
color images with higher SNR and richer details from the mono-color image
pairs, and achieves good performance in solving the color bleeding problem."
68,Steady-state Non-Line-of-Sight Imaging,"Conventional intensity cameras recover objects in the direct line-of-sight of
the camera, whereas occluded scene parts are considered lost in this process.
Non-line-of-sight imaging (NLOS) aims at recovering these occluded objects by
analyzing their indirect reflections on visible scene surfaces. Existing NLOS
methods temporally probe the indirect light transport to unmix light paths
based on their travel time, which mandates specialized instrumentation that
suffers from low photon efficiency, high cost, and mechanical scanning. We
depart from temporal probing and demonstrate steady-state NLOS imaging using
conventional intensity sensors and continuous illumination. Instead of assuming
perfectly isotropic scattering, the proposed method exploits directionality in
the hidden surface reflectance, resulting in (small) spatial variation of their
indirect reflections for varying illumination. To tackle the shape-dependence
of these variations, we propose a trainable architecture which learns to map
diffuse indirect reflections to scene reflectance using only synthetic training
data. Relying on consumer color image sensors, with high fill factor, high
quantum efficiency and low read-out noise, we demonstrate high-fidelity color
NLOS imaging for scene configurations tackled before with picosecond time
resolution."
69,Convolutional Neural Networks with Transformed Input based on Robust Tensor Network Decomposition,"Tensor network decomposition, originated from quantum physics to model
entangled many-particle quantum systems, turns out to be a promising
mathematical technique to efficiently represent and process big data in
parsimonious manner. In this study, we show that tensor networks can
systematically partition structured data, e.g. color images, for distributed
storage and communication in privacy-preserving manner. Leveraging the sea of
big data and metadata privacy, empirical results show that neighbouring
subtensors with implicit information stored in tensor network formats cannot be
identified for data reconstruction. This technique complements the existing
encryption and randomization techniques which store explicit data
representation at one place and highly susceptible to adversarial attacks such
as side-channel attacks and de-anonymization. Furthermore, we propose a theory
for adversarial examples that mislead convolutional neural networks to
misclassification using subspace analysis based on singular value decomposition
(SVD). The theory is extended to analyze higher-order tensors using
tensor-train SVD (TT-SVD); it helps to explain the level of susceptibility of
different datasets to adversarial attacks, the structural similarity of
different adversarial attacks including global and localized attacks, and the
efficacy of different adversarial defenses based on input transformation. An
efficient and adaptive algorithm based on robust TT-SVD is then developed to
detect strong and static adversarial attacks."
70,Quantum Clustering and Gaussian Mixtures,"The mixture of Gaussian distributions, a soft version of k-means , is
considered a state-of-the-art clustering algorithm. It is widely used in
computer vision for selecting classes, e.g., color, texture, and shapes. In
this algorithm, each class is described by a Gaussian distribution, defined by
its mean and covariance. The data is described by a weighted sum of these
Gaussian distributions. We propose a new method, inspired by quantum
interference in physics. Instead of modeling each class distribution directly,
we model a class wave function such that its magnitude square is the class
Gaussian distribution. We then mix the class wave functions to create the
mixture wave function. The final mixture distribution is then the magnitude
square of the mixture wave function. As a result, we observe the quantum class
interference phenomena, not present in the Gaussian mixture model. We show that
the quantum method outperforms the Gaussian mixture method in every aspect of
the estimations. It provides more accurate estimations of all distribution
parameters, with much less fluctuations, and it is also more robust to data
deformations from the Gaussian assumptions. We illustrate our method for color
segmentation as an example application."
71,Information Obfuscation of Graph Neural Networks,"While the advent of Graph Neural Networks (GNNs) has greatly improved node
and graph representation learning in many applications, the neighborhood
aggregation scheme exposes additional vulnerabilities to adversaries seeking to
extract node-level information about sensitive attributes. In this paper, we
study the problem of protecting sensitive attributes by information obfuscation
when learning with graph structured data. We propose a framework to locally
filter out pre-determined sensitive attributes via adversarial training with
the total variation and the Wasserstein distance. Our method creates a strong
defense against inference attacks, while only suffering small loss in task
performance. Theoretically, we analyze the effectiveness of our framework
against a worst-case adversary, and characterize an inherent trade-off between
maximizing predictive accuracy and minimizing information leakage. Experiments
across multiple datasets from recommender systems, knowledge graphs and quantum
chemistry demonstrate that the proposed approach provides a robust defense
across various graph structures and tasks, while producing competitive GNN
encoders for downstream tasks."
72,An Explainable Probabilistic Classifier for Categorical Data Inspired to Quantum Physics,"This paper presents Sparse Tensor Classifier (STC), a supervised
classification algorithm for categorical data inspired by the notion of
superposition of states in quantum physics. By regarding an observation as a
superposition of features, we introduce the concept of wave-particle duality in
machine learning and propose a generalized framework that unifies the classical
and the quantum probability. We show that STC possesses a wide range of
desirable properties not available in most other machine learning methods but
it is at the same time exceptionally easy to comprehend and use. Empirical
evaluation of STC on structured data and text classification demonstrates that
our methodology achieves state-of-the-art performances compared to both
standard classifiers and deep learning, at the additional benefit of requiring
minimal data pre-processing and hyper-parameter tuning. Moreover, STC provides
a native explanation of its predictions both for single instances and for each
target label globally."
73,Bosonic Random Walk Networks for Graph Learning,"The development of Graph Neural Networks (GNNs) has led to great progress in
machine learning on graph-structured data. These networks operate via diffusing
information across the graph nodes while capturing the structure of the graph.
Recently there has also seen tremendous progress in quantum computing
techniques. In this work, we explore applications of multi-particle quantum
walks on diffusing information across graphs. Our model is based on learning
the operators that govern the dynamics of quantum random walkers on graphs. We
demonstrate the effectiveness of our method on classification and regression
tasks."
